trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
162,False,"{'a': 0.01, 'e': 0.4439551321314536}",25,0,0.13749668466417386,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
163,False,"{'a': 0.01, 'e': 0.4417353564707963}",25,19,11.126620839865158,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.01, 'e': 0.43952667968844233}",30,16,24.929448441136966,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.01, 'e': 0.43732904629000013}",20,7,-32.09134742501556,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
166,False,"{'a': 0.01, 'e': 0.4351424010585501}",20,0,-115.48663577417284,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
167,False,"{'a': 0.01, 'e': 0.43296668905325736}",20,8,3.0518009876268177,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
168,False,"{'a': 0.01, 'e': 0.43080185560799106}",20,16,4.346079531901309,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.01, 'e': 0.4286478463299511}",20,7,-17.749745976530356,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
170,False,"{'a': 0.01, 'e': 0.42650460709830135}",20,0,27.87551810891252,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
171,False,"{'a': 0.01, 'e': 0.42437208406280985}",20,2,-38.512966961971536,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 1}",1
172,False,"{'a': 0.01, 'e': 0.4222502236424958}",30,15,-13.287036013130553,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 0}",1
173,False,"{'a': 0.01, 'e': 0.42013897252428334}",20,9,-31.969675701896275,"{0: 7, 1: 1, 2: 2, 3: 1, 4: 0}",1
174,False,"{'a': 0.01, 'e': 0.4180382776616619}",20,11,6.558258841996015,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
175,False,"{'a': 0.01, 'e': 0.4159480862733536}",35,0,-12.355728637682969,"{0: 30, 1: 1, 2: 3, 3: 1, 4: 0}",0
176,False,"{'a': 0.01, 'e': 0.41386834584198684}",20,0,-76.85650965344797,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
177,False,"{'a': 0.01, 'e': 0.4117990041127769}",20,0,-40.717463122750594,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
178,False,"{'a': 0.01, 'e': 0.40974000909221303}",20,9,-14.789521506564014,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
179,False,"{'a': 0.01, 'e': 0.40769130904675194}",25,0,0.4693416020429888,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
180,False,"{'a': 0.01, 'e': 0.40565285250151817}",30,10,-5.495921894594777,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",1
181,False,"{'a': 0.01, 'e': 0.4036245882390106}",30,15,-39.48660519607123,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 1}",1
182,False,"{'a': 0.01, 'e': 0.4016064652978155}",25,15,-17.457775680937573,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
